,PROV_REF_ID,DPTO,circuito,CONDACT,CONDACT_count
0,1.0,2001.0,00001,1,6244
1,1.0,2001.0,00001,2,261
2,1.0,2001.0,00001,3,2159
3,1.0,2001.0,00002,0,482
4,1.0,2001.0,00002,1,5915
5,1.0,2001.0,00002,2,311
6,1.0,2001.0,00002,3,1960
7,1.0,2001.0,00003,1,2185
8,1.0,2001.0,00003,2,78
9,1.0,2001.0,00003,3,578
10,1.0,2001.0,00004,1,1528
11,1.0,2001.0,00004,3,368
12,1.0,2001.0,00005,0,1437
13,1.0,2001.0,00005,1,13418
14,1.0,2001.0,00005,2,985
15,1.0,2001.0,00005,3,4018
16,1.0,2001.0,00006,1,10805
17,1.0,2001.0,00006,2,356
18,1.0,2001.0,00006,3,4430
19,1.0,2001.0,00007,0,885
20,1.0,2001.0,00007,1,4618
21,1.0,2001.0,00007,2,217
22,1.0,2001.0,00007,3,1907
23,1.0,2001.0,00008,0,2032
24,1.0,2001.0,00008,1,4615
25,1.0,2001.0,00008,2,178
26,1.0,2001.0,00008,3,1512
27,1.0,2001.0,00009,0,2681
28,1.0,2001.0,00009,1,4432
29,1.0,2001.0,00009,2,169
30,1.0,2001.0,00009,3,1068
31,1.0,2001.0,00010,0,264
32,1.0,2001.0,00010,1,5220
33,1.0,2001.0,00010,2,226
34,1.0,2001.0,00010,3,1551
35,1.0,2001.0,00011,0,1333
36,1.0,2001.0,00011,1,6958
37,1.0,2001.0,00011,2,317
38,1.0,2001.0,00011,3,1990
39,1.0,2001.0,00012,0,782
40,1.0,2001.0,00012,1,7535
41,1.0,2001.0,00012,2,346
42,1.0,2001.0,00012,3,2334
43,1.0,2001.0,00013,1,8351
44,1.0,2001.0,00013,2,392
45,1.0,2001.0,00013,3,2544
46,1.0,2001.0,00014,1,2319
47,1.0,2001.0,00014,2,114
48,1.0,2001.0,00014,3,649
49,1.0,2001.0,00015,1,5265
50,1.0,2001.0,00015,2,250
51,1.0,2001.0,00015,3,1529
52,1.0,2001.0,00016,0,94
53,1.0,2001.0,00016,1,4122
54,1.0,2001.0,00016,2,216
55,1.0,2001.0,00016,3,1384
56,1.0,2001.0,00017,0,497
57,1.0,2001.0,00017,1,8190
58,1.0,2001.0,00017,2,396
59,1.0,2001.0,00017,3,2697
60,1.0,2001.0,00018,0,311
61,1.0,2001.0,00018,1,5395
62,1.0,2001.0,00018,2,266
63,1.0,2001.0,00018,3,1707
64,1.0,2001.0,00019,0,810
65,1.0,2001.0,00019,1,7351
66,1.0,2001.0,00019,2,343
67,1.0,2001.0,00019,3,2487
68,1.0,2002.0,00020,1,4073
69,1.0,2002.0,00020,2,146
70,1.0,2002.0,00020,3,1641
