,PROV_REF_ID,DPTO,circuito,P02,P02_count
0,1.0,2001.0,00001,1,4046
1,1.0,2001.0,00001,2,4809
2,1.0,2001.0,00002,1,4118
3,1.0,2001.0,00002,2,4550
4,1.0,2001.0,00003,1,1582
5,1.0,2001.0,00003,2,1459
6,1.0,2001.0,00004,1,1344
7,1.0,2001.0,00004,2,1070
8,1.0,2001.0,00005,1,10289
9,1.0,2001.0,00005,2,9569
10,1.0,2001.0,00006,1,7081
11,1.0,2001.0,00006,2,9440
12,1.0,2001.0,00007,1,3313
13,1.0,2001.0,00007,2,4314
14,1.0,2001.0,00008,1,3949
15,1.0,2001.0,00008,2,4388
16,1.0,2001.0,00009,1,4254
17,1.0,2001.0,00009,2,4096
18,1.0,2001.0,00010,1,3304
19,1.0,2001.0,00010,2,3957
20,1.0,2001.0,00011,1,4970
21,1.0,2001.0,00011,2,5628
22,1.0,2001.0,00012,1,5104
23,1.0,2001.0,00012,2,5893
24,1.0,2001.0,00013,1,5364
25,1.0,2001.0,00013,2,6462
26,1.0,2001.0,00014,1,2061
27,1.0,2001.0,00014,2,2051
28,1.0,2001.0,00015,1,3571
29,1.0,2001.0,00015,2,3840
30,1.0,2001.0,00016,1,2679
31,1.0,2001.0,00016,2,3137
32,1.0,2001.0,00017,1,5312
33,1.0,2001.0,00017,2,6468
34,1.0,2001.0,00018,1,3621
35,1.0,2001.0,00018,2,4058
36,1.0,2001.0,00019,1,5177
37,1.0,2001.0,00019,2,5814
38,1.0,2002.0,00020,1,2620
39,1.0,2002.0,00020,2,3346
40,1.0,2002.0,00021,1,5120
41,1.0,2002.0,00021,2,6868
42,1.0,2002.0,00022,1,6807
43,1.0,2002.0,00022,2,9677
44,1.0,2002.0,00023,1,9141
45,1.0,2002.0,00023,2,12517
46,1.0,2002.0,00024,1,5401
47,1.0,2002.0,00024,2,7596
48,1.0,2002.0,00025,1,4935
49,1.0,2002.0,00025,2,6865
50,1.0,2002.0,00026,1,6046
51,1.0,2002.0,00026,2,8243
52,1.0,2002.0,00027,1,5360
53,1.0,2002.0,00027,2,7558
54,1.0,2002.0,00028,1,7792
55,1.0,2002.0,00028,2,10683
56,1.0,2002.0,00029,1,5347
57,1.0,2002.0,00029,2,7340
58,1.0,2003.0,00030,1,4872
59,1.0,2003.0,00030,2,6266
60,1.0,2003.0,00031,1,5431
61,1.0,2003.0,00031,2,6889
62,1.0,2003.0,00032,1,5132
63,1.0,2003.0,00032,2,6426
64,1.0,2003.0,00033,1,4488
65,1.0,2003.0,00033,2,5231
66,1.0,2003.0,00034,1,6523
67,1.0,2003.0,00034,2,8420
68,1.0,2003.0,00035,1,6085
69,1.0,2003.0,00035,2,7276
70,1.0,2003.0,00036,1,3896
71,1.0,2003.0,00036,2,4660
72,1.0,2003.0,00037,1,4637
73,1.0,2003.0,00037,2,5790
74,1.0,2003.0,00038,1,5655
75,1.0,2003.0,00038,2,7043
76,1.0,2003.0,00039,1,5484
77,1.0,2003.0,00039,2,7059
78,1.0,2003.0,00040,1,3898
79,1.0,2003.0,00040,2,4745
80,1.0,2003.0,00041,1,7559
81,1.0,2003.0,00041,2,9272
82,1.0,2003.0,00042,1,6643
83,1.0,2003.0,00042,2,8240
84,1.0,2004.0,00043,1,5338
85,1.0,2004.0,00043,2,6851
86,1.0,2004.0,00044,1,3542
87,1.0,2004.0,00044,2,4419
88,1.0,2004.0,00045,1,2853
89,1.0,2004.0,00045,2,3412
90,1.0,2004.0,00046,1,3024
91,1.0,2004.0,00046,2,3424
92,1.0,2004.0,00047,1,12298
93,1.0,2004.0,00047,2,12826
94,1.0,2004.0,00048,1,4914
95,1.0,2004.0,00048,2,5819
96,1.0,2004.0,00049,1,5011
97,1.0,2004.0,00049,2,5709
98,1.0,2004.0,00050,1,5674
99,1.0,2004.0,00050,2,7037
100,1.0,2004.0,00051,1,3890
101,1.0,2004.0,00051,2,4717
102,1.0,2004.0,00052,1,4567
103,1.0,2004.0,00052,2,5027
104,1.0,2004.0,00053,1,5628
105,1.0,2004.0,00053,2,6508
106,1.0,2004.0,00054,1,5868
107,1.0,2004.0,00054,2,7176
108,1.0,2004.0,00055,1,3893
109,1.0,2004.0,00055,2,4520
110,1.0,2004.0,00056,1,3916
111,1.0,2004.0,00056,2,4497
112,1.0,2004.0,00057,1,7939
113,1.0,2004.0,00057,2,9139
114,1.0,2005.0,00058,1,6330
115,1.0,2005.0,00058,2,7363
116,1.0,2005.0,00059,1,4977
117,1.0,2005.0,00059,2,5920
118,1.0,2005.0,00060,1,6424
119,1.0,2005.0,00060,2,8006
120,1.0,2005.0,00061,1,5990
121,1.0,2005.0,00061,2,7893
122,1.0,2005.0,00062,1,4276
123,1.0,2005.0,00062,2,5210
124,1.0,2005.0,00063,1,8774
125,1.0,2005.0,00063,2,11600
126,1.0,2005.0,00064,1,9486
127,1.0,2005.0,00064,2,12336
128,1.0,2005.0,00065,1,6410
129,1.0,2005.0,00065,2,8111
130,1.0,2005.0,00066,1,5455
131,1.0,2005.0,00066,2,7201
132,1.0,2005.0,00067,1,8563
133,1.0,2005.0,00067,2,11062
134,1.0,2006.0,00068,1,8535
135,1.0,2006.0,00068,2,10946
136,1.0,2006.0,00069,1,11818
137,1.0,2006.0,00069,2,15564
138,1.0,2006.0,00070,1,10454
139,1.0,2006.0,00070,2,13532
140,1.0,2006.0,00071,1,12503
141,1.0,2006.0,00071,2,16468
142,1.0,2006.0,00072,1,5359
143,1.0,2006.0,00072,2,6705
144,1.0,2006.0,00073,1,7415
145,1.0,2006.0,00073,2,8790
146,1.0,2006.0,00074,1,9375
147,1.0,2006.0,00074,2,11930
148,1.0,2007.0,00075,1,4460
149,1.0,2007.0,00075,2,5494
150,1.0,2007.0,00076,1,6347
151,1.0,2007.0,00076,2,7738
152,1.0,2007.0,00077,1,5702
153,1.0,2007.0,00077,2,6555
154,1.0,2007.0,00078,1,4685
155,1.0,2007.0,00078,2,5476
156,1.0,2007.0,00079,1,6758
157,1.0,2007.0,00079,2,8032
158,1.0,2007.0,00080,1,6280
159,1.0,2007.0,00080,2,7706
160,1.0,2007.0,00081,1,5430
161,1.0,2007.0,00081,2,7091
162,1.0,2007.0,00082,1,5816
163,1.0,2007.0,00082,2,7671
164,1.0,2007.0,00083,1,8027
165,1.0,2007.0,00083,2,10710
166,1.0,2007.0,00084,1,4721
167,1.0,2007.0,00084,2,5474
168,1.0,2007.0,00085,1,3234
169,1.0,2007.0,00085,2,3920
170,1.0,2007.0,00086,1,18669
171,1.0,2007.0,00086,2,20710
172,1.0,2008.0,00087,1,16549
173,1.0,2008.0,00087,2,18371
174,1.0,2008.0,00088,1,5213
175,1.0,2008.0,00088,2,6121
176,1.0,2008.0,00089,1,22389
177,1.0,2008.0,00089,2,25928
178,1.0,2008.0,00090,1,19882
179,1.0,2008.0,00090,2,22518
180,1.0,2009.0,00091,1,5025
181,1.0,2009.0,00091,2,5393
182,1.0,2009.0,00092,1,6163
183,1.0,2009.0,00092,2,7171
184,1.0,2009.0,00093,1,3355
185,1.0,2009.0,00093,2,3772
186,1.0,2009.0,00094,1,4687
187,1.0,2009.0,00094,2,5656
188,1.0,2009.0,00095,1,6966
189,1.0,2009.0,00095,2,8268
190,1.0,2009.0,00096,1,4706
191,1.0,2009.0,00096,2,5173
192,1.0,2009.0,00097,1,4262
193,1.0,2009.0,00097,2,4997
194,1.0,2009.0,00098,1,8034
195,1.0,2009.0,00098,2,9433
196,1.0,2009.0,00099,1,4290
197,1.0,2009.0,00099,2,5272
198,1.0,2009.0,00100,1,5213
199,1.0,2009.0,00100,2,6197
200,1.0,2009.0,00101,1,6946
201,1.0,2009.0,00101,2,8442
202,1.0,2010.0,00102,1,5251
203,1.0,2010.0,00102,2,6086
204,1.0,2010.0,00103,1,5150
205,1.0,2010.0,00103,2,5969
206,1.0,2010.0,00104,1,5044
207,1.0,2010.0,00104,2,6061
208,1.0,2010.0,00105,1,7558
209,1.0,2010.0,00105,2,9127
210,1.0,2010.0,00106,1,4761
211,1.0,2010.0,00106,2,5587
212,1.0,2010.0,00107,1,7440
213,1.0,2010.0,00107,2,8957
214,1.0,2010.0,00108,1,4943
215,1.0,2010.0,00108,2,5791
216,1.0,2010.0,00109,1,8119
217,1.0,2010.0,00109,2,10114
218,1.0,2010.0,00110,1,3805
219,1.0,2010.0,00110,2,4694
220,1.0,2010.0,00111,1,6257
221,1.0,2010.0,00111,2,7443
222,1.0,2010.0,00112,1,3768
223,1.0,2010.0,00112,2,4653
224,1.0,2011.0,00113,1,5471
225,1.0,2011.0,00113,2,6286
226,1.0,2011.0,00114,1,7000
227,1.0,2011.0,00114,2,8401
228,1.0,2011.0,00115,1,4819
229,1.0,2011.0,00115,2,5909
230,1.0,2011.0,00116,1,7981
231,1.0,2011.0,00116,2,9636
232,1.0,2011.0,00117,1,6862
233,1.0,2011.0,00117,2,8532
234,1.0,2011.0,00118,1,5811
235,1.0,2011.0,00118,2,7378
236,1.0,2011.0,00119,1,7781
237,1.0,2011.0,00119,2,9852
238,1.0,2011.0,00120,1,7230
239,1.0,2011.0,00120,2,8749
240,1.0,2011.0,00121,1,7848
241,1.0,2011.0,00121,2,7276
242,1.0,2011.0,00122,1,5511
243,1.0,2011.0,00122,2,6836
244,1.0,2011.0,00123,1,5539
245,1.0,2011.0,00123,2,6671
246,1.0,2012.0,00124,1,6103
247,1.0,2012.0,00124,2,7409
248,1.0,2012.0,00125,1,8888
249,1.0,2012.0,00125,2,10579
250,1.0,2012.0,00126,1,6909
251,1.0,2012.0,00126,2,8169
252,1.0,2012.0,00127,1,9524
253,1.0,2012.0,00127,2,11996
254,1.0,2012.0,00128,1,8048
255,1.0,2012.0,00128,2,9275
256,1.0,2012.0,00129,1,10339
257,1.0,2012.0,00129,2,12930
258,1.0,2012.0,00130,1,7072
259,1.0,2012.0,00130,2,8495
260,1.0,2012.0,00131,1,2133
261,1.0,2012.0,00131,2,2578
262,1.0,2012.0,00132,1,8377
263,1.0,2012.0,00132,2,9825
264,1.0,2012.0,00133,1,8388
265,1.0,2012.0,00133,2,10158
266,1.0,2013.0,00134,1,4265
267,1.0,2013.0,00134,2,4935
268,1.0,2013.0,00135,1,4341
269,1.0,2013.0,00135,2,5108
270,1.0,2013.0,00136,1,5908
271,1.0,2013.0,00136,2,7424
272,1.0,2013.0,00137,1,5470
273,1.0,2013.0,00137,2,7055
274,1.0,2013.0,00138,1,11251
275,1.0,2013.0,00138,2,15071
276,1.0,2013.0,00139,1,6988
277,1.0,2013.0,00139,2,9389
278,1.0,2013.0,00140,1,4064
279,1.0,2013.0,00140,2,4820
280,1.0,2013.0,00141,1,5410
281,1.0,2013.0,00141,2,6266
282,1.0,2013.0,00142,1,9112
283,1.0,2013.0,00142,2,11987
284,1.0,2013.0,00143,1,6742
285,1.0,2013.0,00143,2,9355
286,1.0,2013.0,00144,1,3245
287,1.0,2013.0,00144,2,4217
288,1.0,2013.0,00145,1,6343
289,1.0,2013.0,00145,2,7962
290,1.0,2013.0,00146,1,4854
291,1.0,2013.0,00146,2,5956
292,1.0,2013.0,00147,1,8342
293,1.0,2013.0,00147,2,11402
294,1.0,2014.0,00148,1,9083
295,1.0,2014.0,00148,2,11755
296,1.0,2014.0,00149,1,9616
297,1.0,2014.0,00149,2,12500
298,1.0,2014.0,00150,1,4465
299,1.0,2014.0,00150,2,5893
300,1.0,2014.0,00151,1,10652
301,1.0,2014.0,00151,2,13421
302,1.0,2014.0,00152,1,8187
303,1.0,2014.0,00152,2,11367
304,1.0,2014.0,00153,1,10330
305,1.0,2014.0,00153,2,14059
306,1.0,2014.0,00154,1,10959
307,1.0,2014.0,00154,2,14482
308,1.0,2014.0,00155,1,9895
309,1.0,2014.0,00155,2,11810
310,1.0,2014.0,00156,1,5085
311,1.0,2014.0,00156,2,6386
312,1.0,2014.0,00157,1,6920
313,1.0,2014.0,00157,2,8472
314,1.0,2015.0,00158,1,8348
315,1.0,2015.0,00158,2,10582
316,1.0,2015.0,00159,1,4922
317,1.0,2015.0,00159,2,6028
318,1.0,2015.0,00160,1,9105
319,1.0,2015.0,00160,2,11420
320,1.0,2015.0,00161,1,8387
321,1.0,2015.0,00161,2,10244
322,1.0,2015.0,00162,1,7459
323,1.0,2015.0,00162,2,8573
324,1.0,2015.0,00163,1,5392
325,1.0,2015.0,00163,2,6135
326,1.0,2015.0,00164,1,5064
327,1.0,2015.0,00164,2,6132
328,1.0,2015.0,00165,1,8180
329,1.0,2015.0,00165,2,9757
330,1.0,2015.0,00166,1,6748
331,1.0,2015.0,00166,2,7864
332,1.0,2015.0,00167,1,5252
333,1.0,2015.0,00167,2,6262
334,2.0,6007.0,00001,1,3296
335,2.0,6007.0,00001,2,3756
336,2.0,6007.0,00002,1,352
337,2.0,6007.0,00002,2,306
338,2.0,6007.0,00003,1,1280
339,2.0,6007.0,00003,2,1353
340,2.0,6007.0,00004,1,97
341,2.0,6007.0,00004,2,69
342,2.0,6007.0,00005,1,868
343,2.0,6007.0,00005,2,847
344,2.0,6007.0,00006,1,137
345,2.0,6007.0,00006,2,114
346,2.0,6007.0,00007,1,339
347,2.0,6007.0,00007,2,288
348,2.0,6014.0,00424,1,3448
349,2.0,6014.0,00424,2,3784
350,2.0,6014.0,00427,1,761
351,2.0,6014.0,00427,2,782
352,2.0,6014.0,00428,1,178
353,2.0,6014.0,00428,2,107
354,2.0,6021.0,00010,1,3037
355,2.0,6021.0,00010,2,3496
356,2.0,6021.0,00011,1,156
357,2.0,6021.0,00011,2,178
358,2.0,6021.0,00012,1,171
359,2.0,6021.0,00012,2,135
360,2.0,6021.0,00013,1,110
361,2.0,6021.0,00013,2,89
362,2.0,6021.0,00014,1,336
363,2.0,6021.0,00014,2,337
364,2.0,6021.0,00015,2,60
365,2.0,6028.0,00017,1,7601
366,2.0,6028.0,00017,2,9088
367,2.0,6028.0,00018,1,15362
368,2.0,6028.0,00018,2,17227
369,2.0,6028.0,00019,1,43387
370,2.0,6028.0,00019,2,47004
371,2.0,6028.0,00020,1,13139
372,2.0,6028.0,00020,2,14914
373,2.0,6028.0,00021,1,25458
374,2.0,6028.0,00021,2,26953
375,2.0,6028.0,00022,1,14336
376,2.0,6028.0,00022,2,14981
377,2.0,6028.0,0020A,1,14159
378,2.0,6028.0,0020A,2,14766
379,2.0,6028.0,0021A,1,6310
380,2.0,6028.0,0021A,2,6297
381,2.0,6028.0,0022A,1,22590
382,2.0,6028.0,0022A,2,24551
383,2.0,6028.0,0022B,1,8033
384,2.0,6028.0,0022B,2,8472
385,2.0,6035.0,00023,1,6149
386,2.0,6035.0,00023,2,7639
387,2.0,6035.0,00024,1,4479
388,2.0,6035.0,00024,2,5378
389,2.0,6035.0,00025,1,5084
390,2.0,6035.0,00025,2,5614
391,2.0,6035.0,00026,1,4494
392,2.0,6035.0,00026,2,4785
393,2.0,6035.0,00027,1,6602
394,2.0,6035.0,00027,2,7311
395,2.0,6035.0,00030,1,2903
396,2.0,6035.0,00030,2,3359
397,2.0,6035.0,00031,1,731
398,2.0,6035.0,00031,2,812
399,2.0,6035.0,00032,1,1964
400,2.0,6035.0,00032,2,2215
401,2.0,6035.0,00033,1,5648
402,2.0,6035.0,00033,2,6661
403,2.0,6035.0,00034,1,8589
404,2.0,6035.0,00034,2,9892
405,2.0,6035.0,00037,1,9425
406,2.0,6035.0,00037,2,11100
407,2.0,6035.0,00038,1,18357
408,2.0,6035.0,00038,2,21169
409,2.0,6035.0,00039,1,19681
410,2.0,6035.0,00039,2,22132
411,2.0,6035.0,00040,1,28761
412,2.0,6035.0,00040,2,33236
413,2.0,6042.0,00046,1,6131
414,2.0,6042.0,00046,2,7037
415,2.0,6042.0,00048,1,63
416,2.0,6042.0,00048,2,51
417,2.0,6042.0,00049,1,76
418,2.0,6042.0,00049,2,47
419,2.0,6042.0,00050,1,205
420,2.0,6042.0,00050,2,127
421,2.0,6042.0,00051,1,59
422,2.0,6042.0,00051,2,44
423,2.0,6042.0,00052,1,117
424,2.0,6042.0,00052,2,81
425,2.0,6042.0,00054,1,67
426,2.0,6042.0,00054,2,44
427,2.0,6042.0,00055,1,120
428,2.0,6042.0,00055,2,92
429,2.0,6042.0,00056,1,112
430,2.0,6042.0,00057,1,153
431,2.0,6042.0,00057,2,91
432,2.0,6049.0,00060,1,19303
433,2.0,6049.0,00060,2,21901
434,2.0,6049.0,00061,1,202
435,2.0,6049.0,00061,2,106
436,2.0,6049.0,00062,1,1123
437,2.0,6049.0,00062,2,1288
438,2.0,6049.0,00063,1,201
439,2.0,6049.0,00063,2,95
440,2.0,6049.0,00064,1,75
441,2.0,6049.0,00064,2,48
442,2.0,6049.0,00065,1,111
443,2.0,6049.0,00065,2,76
444,2.0,6049.0,00066,1,552
445,2.0,6049.0,00066,2,514
446,2.0,6049.0,00067,1,1210
447,2.0,6049.0,00067,2,1288
448,2.0,6049.0,00068,1,66
449,2.0,6049.0,00068,2,52
450,2.0,6049.0,00069,1,98
451,2.0,6049.0,00069,2,56
452,2.0,6049.0,0062A,1,83
453,2.0,6049.0,0062A,2,65
454,2.0,6049.0,0062B,1,143
455,2.0,6049.0,0062B,2,79
456,2.0,6056.0,00072,1,4341
457,2.0,6056.0,00072,2,5857
458,2.0,6056.0,00073,1,8706
459,2.0,6056.0,00073,2,10489
460,2.0,6056.0,00074,1,7802
461,2.0,6056.0,00074,2,8763
462,2.0,6056.0,00075,1,5334
463,2.0,6056.0,00075,2,6103
464,2.0,6056.0,00076,1,16884
465,2.0,6056.0,00076,2,17928
466,2.0,6056.0,00077,1,337
467,2.0,6056.0,00077,2,347
468,2.0,6056.0,00078,1,3362
469,2.0,6056.0,00078,2,3657
470,2.0,6056.0,00079,1,1346
471,2.0,6056.0,00079,2,1421
472,2.0,6056.0,00080,1,875
473,2.0,6056.0,00080,2,937
474,2.0,6056.0,00083,1,6036
475,2.0,6056.0,00083,2,7961
476,2.0,6056.0,00084,1,4970
477,2.0,6056.0,00084,2,6770
478,2.0,6056.0,00085,1,13509
479,2.0,6056.0,00085,2,14154
480,2.0,6056.0,00086,1,12244
481,2.0,6056.0,00086,2,13648
482,2.0,6056.0,00087,1,7590
483,2.0,6056.0,00087,2,8225
484,2.0,6056.0,00088,1,3393
485,2.0,6056.0,00088,2,3466
486,2.0,6056.0,00089,1,1549
487,2.0,6056.0,00089,2,1771
488,2.0,6056.0,00090,1,1140
