,PROV,circuito,P09,P09_count
0,2.0,00001,0,63
1,2.0,00001,2,1368
2,2.0,00001,3,12
3,2.0,00001,4,3169
4,2.0,00001,5,35
5,2.0,00001,6,1112
6,2.0,00001,7,2756
7,2.0,00001,8,314
8,2.0,00002,2,1272
9,2.0,00002,4,2973
10,2.0,00002,5,28
11,2.0,00002,6,1089
12,2.0,00002,7,2887
13,2.0,00002,8,352
14,2.0,00003,0,30
15,2.0,00003,2,356
16,2.0,00003,4,1166
17,2.0,00003,6,235
18,2.0,00003,7,990
19,2.0,00003,8,245
20,2.0,00004,2,88
21,2.0,00004,4,627
22,2.0,00004,6,246
23,2.0,00004,7,1122
24,2.0,00004,8,307
25,2.0,00005,0,677
26,2.0,00005,1,27
27,2.0,00005,2,6658
28,2.0,00005,3,58
29,2.0,00005,4,9857
30,2.0,00005,5,114
31,2.0,00005,6,660
32,2.0,00005,7,1645
33,2.0,00005,8,137
34,2.0,00005,9,25
35,2.0,00006,2,1393
36,2.0,00006,4,4435
37,2.0,00006,6,1837
38,2.0,00006,7,7610
39,2.0,00006,8,1113
40,2.0,00007,2,550
41,2.0,00007,4,1760
42,2.0,00007,6,952
43,2.0,00007,7,3732
44,2.0,00007,8,570
45,2.0,00007,9,14
46,2.0,00008,2,643
47,2.0,00008,4,1812
48,2.0,00008,5,28
49,2.0,00008,6,1000
50,2.0,00008,7,4043
51,2.0,00008,8,760
52,2.0,00008,9,11
53,2.0,00009,2,824
54,2.0,00009,4,2518
55,2.0,00009,6,976
56,2.0,00009,7,3531
57,2.0,00009,8,401
58,2.0,00010,0,50
59,2.0,00010,2,843
60,2.0,00010,4,2086
61,2.0,00010,5,29
62,2.0,00010,6,773
63,2.0,00010,7,3041
64,2.0,00010,8,425
65,2.0,00011,0,92
66,2.0,00011,2,1333
67,2.0,00011,3,15
68,2.0,00011,4,3394
69,2.0,00011,5,51
70,2.0,00011,6,1265
71,2.0,00011,7,3932
72,2.0,00011,8,496
73,2.0,00011,9,18
74,2.0,00012,0,82
75,2.0,00012,2,1509
76,2.0,00012,3,13
77,2.0,00012,4,4019
78,2.0,00012,5,44
79,2.0,00012,6,1350
80,2.0,00012,7,3536
81,2.0,00012,8,416
82,2.0,00012,9,22
83,2.0,00013,1,8
84,2.0,00013,2,1853
85,2.0,00013,4,4489
86,2.0,00013,5,36
87,2.0,00013,6,1467
88,2.0,00013,7,3482
89,2.0,00013,8,366
90,2.0,00014,0,27
91,2.0,00014,2,625
92,2.0,00014,4,1352
93,2.0,00014,5,16
94,2.0,00014,6,471
95,2.0,00014,7,1386
96,2.0,00014,8,219
97,2.0,00014,9,6
98,2.0,00015,0,43
99,2.0,00015,2,1187
100,2.0,00015,4,2803
101,2.0,00015,5,43
102,2.0,00015,6,940
103,2.0,00015,7,2096
104,2.0,00015,8,279
105,2.0,00015,9,9
106,2.0,00016,0,53
107,2.0,00016,2,957
108,2.0,00016,3,6
109,2.0,00016,4,2219
110,2.0,00016,5,21
111,2.0,00016,6,701
112,2.0,00016,7,1656
113,2.0,00016,8,184
114,2.0,00016,9,15
115,2.0,00017,0,91
116,2.0,00017,2,2238
117,2.0,00017,4,4790
118,2.0,00017,5,58
119,2.0,00017,6,1416
120,2.0,00017,7,2880
121,2.0,00017,8,269
122,2.0,00018,0,89
123,2.0,00018,2,1818
124,2.0,00018,4,3486
125,2.0,00018,5,18
126,2.0,00018,6,772
127,2.0,00018,7,1326
128,2.0,00018,8,117
129,2.0,00019,0,129
130,2.0,00019,2,2854
131,2.0,00019,4,5114
132,2.0,00019,5,48
133,2.0,00019,6,917
134,2.0,00019,7,1744
135,2.0,00019,8,128
136,2.0,00019,9,34
137,2.0,00020,0,31
138,2.0,00020,2,564
139,2.0,00020,4,1526
140,2.0,00020,6,674
141,2.0,00020,7,2720
142,2.0,00020,8,428
143,2.0,00021,0,28
144,2.0,00021,2,895
145,2.0,00021,4,2915
146,2.0,00021,5,32
147,2.0,00021,6,1354
148,2.0,00021,7,5742
149,2.0,00021,8,994
150,2.0,00021,9,20
151,2.0,00022,0,61
152,2.0,00022,2,1079
153,2.0,00022,4,3635
154,2.0,00022,5,40
155,2.0,00022,6,2019
156,2.0,00022,7,8324
157,2.0,00022,8,1289
158,2.0,00023,0,58
159,2.0,00023,2,1382
160,2.0,00023,4,4506
161,2.0,00023,6,2605
162,2.0,00023,7,11218
163,2.0,00023,8,1778
164,2.0,00023,9,30
165,2.0,00024,2,830
166,2.0,00024,4,2793
167,2.0,00024,6,1443
168,2.0,00024,7,6766
169,2.0,00024,8,1078
170,2.0,00025,0,44
171,2.0,00025,2,758
172,2.0,00025,4,2702
173,2.0,00025,6,1367
174,2.0,00025,7,5948
175,2.0,00025,8,913
176,2.0,00025,9,36
177,2.0,00026,0,69
178,2.0,00026,2,1007
179,2.0,00026,4,3359
180,2.0,00026,5,39
181,2.0,00026,6,1561
182,2.0,00026,7,7135
183,2.0,00026,8,1079
184,2.0,00026,9,34
185,2.0,00027,0,46
186,2.0,00027,1,7
187,2.0,00027,2,994
188,2.0,00027,4,3053
189,2.0,00027,6,1544
190,2.0,00027,7,6335
191,2.0,00027,8,890
192,2.0,00027,9,19
193,2.0,00028,0,90
194,2.0,00028,2,1400
195,2.0,00028,4,4471
196,2.0,00028,5,60
197,2.0,00028,6,2293
198,2.0,00028,7,8901
199,2.0,00028,8,1207
200,2.0,00028,9,44
201,2.0,00029,1,4
202,2.0,00029,2,1093
203,2.0,00029,4,3077
204,2.0,00029,5,31
205,2.0,00029,6,1534
206,2.0,00029,7,5912
207,2.0,00029,8,839
208,2.0,00029,9,48
209,2.0,00030,0,58
210,2.0,00030,2,1590
211,2.0,00030,4,4035
212,2.0,00030,5,36
213,2.0,00030,6,1320
214,2.0,00030,7,3687
215,2.0,00030,8,373
216,2.0,00030,9,20
217,2.0,00031,0,88
218,2.0,00031,2,1515
219,2.0,00031,4,4172
220,2.0,00031,6,1525
221,2.0,00031,7,4419
222,2.0,00031,8,511
223,2.0,00032,0,65
224,2.0,00032,2,1353
225,2.0,00032,3,13
226,2.0,00032,4,3575
227,2.0,00032,5,41
228,2.0,00032,6,1448
229,2.0,00032,7,4467
230,2.0,00032,8,567
231,2.0,00033,0,85
232,2.0,00033,1,5
233,2.0,00033,2,1693
234,2.0,00033,4,4105
235,2.0,00033,5,26
236,2.0,00033,6,1030
237,2.0,00033,7,2529
238,2.0,00033,8,204
239,2.0,00033,9,29
240,2.0,00034,0,114
241,2.0,00034,2,2069
242,2.0,00034,4,5653
243,2.0,00034,5,66
244,2.0,00034,6,1949
245,2.0,00034,7,4633
246,2.0,00034,8,412
247,2.0,00034,9,39
248,2.0,00035,0,97
249,2.0,00035,2,2301
250,2.0,00035,4,5375
251,2.0,00035,5,51
252,2.0,00035,6,1646
253,2.0,00035,7,3499
254,2.0,00035,8,338
255,2.0,00036,2,1828
256,2.0,00036,3,15
257,2.0,00036,4,3718
258,2.0,00036,5,25
259,2.0,00036,6,911
260,2.0,00036,7,1815
261,2.0,00036,8,146
262,2.0,00036,9,26
263,2.0,00037,0,90
264,2.0,00037,2,1826
265,2.0,00037,4,4140
266,2.0,00037,6,1239
267,2.0,00037,7,2836
268,2.0,00037,8,242
269,2.0,00037,9,22
270,2.0,00038,0,94
271,2.0,00038,2,2204
272,2.0,00038,4,4936
273,2.0,00038,5,36
274,2.0,00038,6,1537
275,2.0,00038,7,3495
276,2.0,00038,8,362
277,2.0,00039,0,91
278,2.0,00039,2,2091
279,2.0,00039,4,4801
280,2.0,00039,6,1536
281,2.0,00039,7,3623
282,2.0,00039,8,347
283,2.0,00040,0,79
284,2.0,00040,2,1448
285,2.0,00040,4,3551
286,2.0,00040,5,17
287,2.0,00040,6,1082
288,2.0,00040,7,2203
289,2.0,00040,8,233
290,2.0,00041,0,145
291,2.0,00041,2,3254
292,2.0,00041,4,7156
293,2.0,00041,6,1912
294,2.0,00041,7,3968
295,2.0,00041,8,307
296,2.0,00041,9,37
297,2.0,00042,0,102
298,2.0,00042,2,2734
299,2.0,00042,4,5975
300,2.0,00042,6,1808
301,2.0,00042,7,3834
302,2.0,00042,8,343
303,2.0,00042,9,46
304,2.0,00043,0,109
305,2.0,00043,2,2474
306,2.0,00043,4,5112
307,2.0,00043,6,1358
308,2.0,00043,7,2769
309,2.0,00043,8,265
310,2.0,00043,9,34
311,2.0,00044,0,39
312,2.0,00044,2,1420
313,2.0,00044,3,7
314,2.0,00044,4,3454
315,2.0,00044,5,12
316,2.0,00044,6,943
317,2.0,00044,7,1948
318,2.0,00045,0,61
319,2.0,00045,2,1671
320,2.0,00045,4,2950
321,2.0,00045,5,16
322,2.0,00045,6,608
323,2.0,00045,7,889
324,2.0,00045,9,17
325,2.0,00046,0,43
326,2.0,00046,2,1224
327,2.0,00046,4,3082
328,2.0,00046,5,12
329,2.0,00046,6,755
330,2.0,00046,7,1197
331,2.0,00046,8,106
332,2.0,00046,9,22
333,2.0,00047,0,785
334,2.0,00047,2,11105
335,2.0,00047,3,95
336,2.0,00047,4,11419
337,2.0,00047,5,148
338,2.0,00047,6,523
339,2.0,00047,7,901
340,2.0,00047,8,58
341,2.0,00047,9,58
342,2.0,00048,0,88
343,2.0,00048,2,2015
344,2.0,00048,3,11
345,2.0,00048,4,4385
346,2.0,00048,5,17
347,2.0,00048,6,1212
348,2.0,00048,7,2739
349,2.0,00048,8,237
350,2.0,00048,9,25
351,2.0,00049,0,87
352,2.0,00049,2,2645
353,2.0,00049,4,4949
354,2.0,00049,5,38
355,2.0,00049,6,1054
356,2.0,00049,7,1817
357,2.0,00049,8,71
358,2.0,00049,9,32
359,2.0,00050,0,40
360,2.0,00050,2,2013
361,2.0,00050,3,8
362,2.0,00050,4,4758
363,2.0,00050,5,20
364,2.0,00050,6,1654
365,2.0,00050,7,3807
366,2.0,00050,8,373
367,2.0,00051,2,1506
368,2.0,00051,3,5
369,2.0,00051,4,3547
370,2.0,00051,6,1146
371,2.0,00051,7,2170
372,2.0,00051,8,154
373,2.0,00052,0,103
374,2.0,00052,2,3242
375,2.0,00052,3,21
376,2.0,00052,4,4733
377,2.0,00052,5,48
378,2.0,00052,6,541
379,2.0,00052,7,824
380,2.0,00052,8,42
381,2.0,00052,9,38
382,2.0,00053,0,126
383,2.0,00053,1,13
384,2.0,00053,2,3745
385,2.0,00053,4,5965
386,2.0,00053,5,41
387,2.0,00053,6,814
388,2.0,00053,7,1311
389,2.0,00053,8,55
390,2.0,00053,9,48
391,2.0,00054,0,75
392,2.0,00054,1,10
393,2.0,00054,2,2543
394,2.0,00054,3,12
395,2.0,00054,4,5719
396,2.0,00054,6,1689
397,2.0,00054,7,2751
398,2.0,00054,8,198
399,2.0,00055,0,92
400,2.0,00055,2,2594
401,2.0,00055,3,10
402,2.0,00055,4,4026
403,2.0,00055,6,580
404,2.0,00055,7,987
405,2.0,00055,8,49
406,2.0,00055,9,30
407,2.0,00056,0,90
408,2.0,00056,2,2533
409,2.0,00056,4,4056
410,2.0,00056,5,16
411,2.0,00056,6,687
412,2.0,00056,7,964
413,2.0,00056,8,29
414,2.0,00057,0,146
415,2.0,00057,1,12
416,2.0,00057,2,4056
417,2.0,00057,4,7992
418,2.0,00057,5,22
419,2.0,00057,6,1794
420,2.0,00057,7,2898
421,2.0,00057,8,102
422,2.0,00057,9,47
423,2.0,00058,0,123
424,2.0,00058,1,6
425,2.0,00058,2,2653
426,2.0,00058,3,13
427,2.0,00058,4,5963
428,2.0,00058,5,24
429,2.0,00058,6,1690
430,2.0,00058,7,2989
431,2.0,00058,8,201
432,2.0,00058,9,31
433,2.0,00059,0,102
434,2.0,00059,2,1965
435,2.0,00059,4,4442
436,2.0,00059,5,22
437,2.0,00059,6,1412
438,2.0,00059,7,2720
439,2.0,00059,8,188
440,2.0,00059,9,35
441,2.0,00060,0,72
442,2.0,00060,2,2242
443,2.0,00060,4,5441
444,2.0,00060,6,1972
445,2.0,00060,7,4265
446,2.0,00060,8,383
447,2.0,00060,9,30
448,2.0,00061,2,1488
449,2.0,00061,4,4565
450,2.0,00061,6,2024
451,2.0,00061,7,5188
452,2.0,00061,8,516
453,2.0,00061,9,33
454,2.0,00062,0,68
455,2.0,00062,2,1550
456,2.0,00062,3,6
457,2.0,00062,4,3762
458,2.0,00062,6,1159
459,2.0,00062,7,2631
460,2.0,00062,8,258
461,2.0,00063,0,132
462,2.0,00063,2,2905
463,2.0,00063,4,7047
464,2.0,00063,5,49
465,2.0,00063,6,2768
466,2.0,00063,7,6687
467,2.0,00063,8,721
468,2.0,00063,9,53
469,2.0,00064,0,111
470,2.0,00064,1,4
471,2.0,00064,2,2753
472,2.0,00064,4,7316
473,2.0,00064,5,32
474,2.0,00064,6,3052
475,2.0,00064,7,7608
476,2.0,00064,8,898
477,2.0,00064,9,41
478,2.0,00065,0,130
479,2.0,00065,2,1752
480,2.0,00065,4,4784
481,2.0,00065,6,1851
482,2.0,00065,7,5261
483,2.0,00065,8,639
484,2.0,00065,9,65
485,2.0,00066,2,1607
486,2.0,00066,4,4058
487,2.0,00066,6,1618
488,2.0,00066,7,4744
489,2.0,00066,8,503
490,2.0,00066,9,36
491,2.0,00067,0,131
492,2.0,00067,2,2279
493,2.0,00067,4,6483
494,2.0,00067,6,2739
495,2.0,00067,7,7079
496,2.0,00067,8,832
497,2.0,00067,9,39
498,2.0,00068,0,104
499,2.0,00068,2,2379
500,2.0,00068,3,7
501,2.0,00068,4,6122
502,2.0,00068,6,2670
503,2.0,00068,7,7266
504,2.0,00068,8,839
505,2.0,00068,9,73
506,2.0,00069,0,134
507,2.0,00069,2,2710
508,2.0,00069,3,5
509,2.0,00069,4,8272
510,2.0,00069,6,3795
511,2.0,00069,7,11128
512,2.0,00069,8,1254
513,2.0,00069,9,64
514,2.0,00070,0,112
515,2.0,00070,2,2694
516,2.0,00070,4,7677
517,2.0,00070,5,23
518,2.0,00070,6,3514
519,2.0,00070,7,8929
520,2.0,00070,8,971
521,2.0,00070,9,51
522,2.0,00071,0,151
523,2.0,00071,2,2657
524,2.0,00071,3,10
525,2.0,00071,4,8907
526,2.0,00071,5,33
527,2.0,00071,6,4045
528,2.0,00071,7,11792
529,2.0,00071,8,1321
530,2.0,00071,9,54
531,2.0,00072,0,67
532,2.0,00072,2,1767
533,2.0,00072,4,4572
534,2.0,00072,5,15
535,2.0,00072,6,1676
536,2.0,00072,7,3589
537,2.0,00072,8,345
538,2.0,00073,0,71
539,2.0,00073,1,9
540,2.0,00073,2,1798
541,2.0,00073,4,5492
542,2.0,00073,6,2345
543,2.0,00073,7,5828
544,2.0,00073,8,599
545,2.0,00073,9,36
546,2.0,00074,0,80
547,2.0,00074,2,2183
548,2.0,00074,3,17
549,2.0,00074,4,6418
550,2.0,00074,5,39
551,2.0,00074,6,2894
552,2.0,00074,7,8682
553,2.0,00074,8,949
554,2.0,00074,9,39
555,2.0,00075,0,64
556,2.0,00075,2,1454
557,2.0,00075,4,3423
558,2.0,00075,5,9
559,2.0,00075,6,1397
560,2.0,00075,7,3322
561,2.0,00075,8,242
562,2.0,00076,0,102
563,2.0,00076,2,1956
564,2.0,00076,4,5134
565,2.0,00076,6,1963
566,2.0,00076,7,4522
567,2.0,00076,8,360
568,2.0,00076,9,20
569,2.0,00077,0,95
570,2.0,00077,2,2526
571,2.0,00077,4,5253
572,2.0,00077,6,1466
573,2.0,00077,7,2687
574,2.0,00077,8,181
575,2.0,00078,0,85
576,2.0,00078,2,2061
577,2.0,00078,4,4466
578,2.0,00078,6,1155
579,2.0,00078,7,2238
580,2.0,00078,8,117
581,2.0,00078,9,22
582,2.0,00079,0,240
583,2.0,00079,2,2718
584,2.0,00079,4,6197
585,2.0,00079,5,31
586,2.0,00079,6,1695
587,2.0,00079,7,3624
588,2.0,00079,8,229
589,2.0,00080,0,94
590,2.0,00080,2,1857
591,2.0,00080,4,4906
592,2.0,00080,5,14
593,2.0,00080,6,1932
594,2.0,00080,7,4747
595,2.0,00080,8,385
596,2.0,00080,9,49
597,2.0,00081,0,73
598,2.0,00081,2,1804
599,2.0,00081,3,7
600,2.0,00081,4,4600
601,2.0,00081,5,18
602,2.0,00081,6,1643
603,2.0,00081,7,4017
604,2.0,00081,8,307
605,2.0,00082,0,103
606,2.0,00082,2,2224
607,2.0,00082,3,12
608,2.0,00082,4,5300
609,2.0,00082,6,1774
610,2.0,00082,7,3748
611,2.0,00082,8,268
612,2.0,00082,9,26
613,2.0,00083,0,111
614,2.0,00083,2,2388
615,2.0,00083,4,6354
616,2.0,00083,6,2597
617,2.0,00083,7,6645
618,2.0,00083,8,573
619,2.0,00083,9,31
620,2.0,00084,0,82
621,2.0,00084,2,1824
622,2.0,00084,4,4142
623,2.0,00084,6,1310
624,2.0,00084,7,2637
625,2.0,00084,8,146
626,2.0,00084,9,28
627,2.0,00085,0,65
628,2.0,00085,2,873
629,2.0,00085,4,2501
630,2.0,00085,5,8
631,2.0,00085,6,912
632,2.0,00085,7,2567
633,2.0,00085,8,199
634,2.0,00085,9,26
635,2.0,00086,0,865
636,2.0,00086,2,11254
637,2.0,00086,3,72
638,2.0,00086,4,20840
639,2.0,00086,5,111
640,2.0,00086,6,2133
641,2.0,00086,7,3773
642,2.0,00086,8,171
643,2.0,00086,9,113
644,2.0,00087,0,623
645,2.0,00087,2,12963
646,2.0,00087,3,55
647,2.0,00087,4,17198
648,2.0,00087,5,77
649,2.0,00087,6,1524
650,2.0,00087,7,2245
651,2.0,00087,8,80
652,2.0,00087,9,124
653,2.0,00088,0,103
654,2.0,00088,2,3078
655,2.0,00088,4,5127
656,2.0,00088,5,23
657,2.0,00088,6,1036
658,2.0,00088,7,1835
659,2.0,00088,8,83
660,2.0,00089,0,695
661,2.0,00089,1,36
662,2.0,00089,2,14313
663,2.0,00089,3,70
664,2.0,00089,4,24486
665,2.0,00089,5,107
666,2.0,00089,6,3219
667,2.0,00089,7,5039
668,2.0,00089,8,187
669,2.0,00089,9,165
670,2.0,00090,0,758
671,2.0,00090,1,17
672,2.0,00090,2,15114
673,2.0,00090,3,137
674,2.0,00090,4,19966
675,2.0,00090,5,122
676,2.0,00090,6,2431
677,2.0,00090,7,3562
678,2.0,00090,8,142
679,2.0,00090,9,151
680,2.0,00091,0,208
681,2.0,00091,2,3652
682,2.0,00091,3,23
683,2.0,00091,4,5321
684,2.0,00091,6,398
685,2.0,00091,7,722
686,2.0,00091,9,32
687,2.0,00092,0,101
688,2.0,00092,2,2918
689,2.0,00092,4,6018
690,2.0,00092,5,34
691,2.0,00092,6,1370
692,2.0,00092,7,2696
693,2.0,00092,8,125
694,2.0,00092,9,60
695,2.0,00093,0,65
696,2.0,00093,2,1807
697,2.0,00093,4,3331
698,2.0,00093,6,695
699,2.0,00093,7,1125
700,2.0,00093,8,71
701,2.0,00094,0,82
702,2.0,00094,2,2115
703,2.0,00094,4,4709
704,2.0,00094,6,1244
705,2.0,00094,7,2023
706,2.0,00094,8,114
707,2.0,00094,9,31
708,2.0,00095,0,108
709,2.0,00095,2,3322
710,2.0,00095,3,9
711,2.0,00095,4,6903
712,2.0,00095,6,1701
713,2.0,00095,7,2980
714,2.0,00095,8,140
715,2.0,00095,9,34
716,2.0,00096,0,128
717,2.0,00096,2,2640
718,2.0,00096,4,4767
719,2.0,00096,6,811
720,2.0,00096,7,1419
721,2.0,00096,8,60
722,2.0,00097,0,81
723,2.0,00097,2,2819
724,2.0,00097,4,4357
725,2.0,00097,5,20
726,2.0,00097,6,774
727,2.0,00097,7,1098
728,2.0,00097,8,60
729,2.0,00097,9,38
730,2.0,00098,0,195
731,2.0,00098,2,4360
732,2.0,00098,4,7665
733,2.0,00098,6,1838
734,2.0,00098,7,3163
735,2.0,00098,8,171
736,2.0,00099,0,43
737,2.0,00099,2,2196
738,2.0,00099,4,3993
739,2.0,00099,6,1132
740,2.0,00099,7,2041
741,2.0,00099,8,119
742,2.0,00100,0,64
743,2.0,00100,2,1973
744,2.0,00100,4,4945
745,2.0,00100,5,14
746,2.0,00100,6,1463
747,2.0,00100,7,2776
748,2.0,00100,8,135
749,2.0,00101,0,125
750,2.0,00101,2,2992
751,2.0,00101,4,6502
752,2.0,00101,5,27
753,2.0,00101,6,1932
754,2.0,00101,7,3556
755,2.0,00101,8,209
756,2.0,00102,0,56
757,2.0,00102,2,1751
758,2.0,00102,4,4536
759,2.0,00102,5,11
760,2.0,00102,6,1519
761,2.0,00102,7,3223
762,2.0,00102,8,206
763,2.0,00103,0,71
764,2.0,00103,2,2248
765,2.0,00103,4,4192
766,2.0,00103,5,28
767,2.0,00103,6,1559
768,2.0,00103,7,2843
769,2.0,00103,8,144
770,2.0,00103,9,23
771,2.0,00104,0,66
772,2.0,00104,2,2282
773,2.0,00104,4,4721
774,2.0,00104,5,12
775,2.0,00104,6,1432
776,2.0,00104,7,2389
777,2.0,00104,8,159
778,2.0,00105,0,97
779,2.0,00105,2,3066
780,2.0,00105,4,6833
781,2.0,00105,5,23
782,2.0,00105,6,2303
783,2.0,00105,7,4063
784,2.0,00105,8,217
785,2.0,00106,0,170
786,2.0,00106,1,1
787,2.0,00106,2,1833
788,2.0,00106,4,4238
789,2.0,00106,5,18
790,2.0,00106,6,1388
791,2.0,00106,7,2496
792,2.0,00106,8,162
793,2.0,00107,0,113
794,2.0,00107,1,11
795,2.0,00107,2,2804
796,2.0,00107,3,10
797,2.0,00107,4,6999
798,2.0,00107,6,2012
799,2.0,00107,7,4123
800,2.0,00107,8,257
801,2.0,00107,9,50
802,2.0,00108,2,2090
803,2.0,00108,3,3
804,2.0,00108,4,4421
805,2.0,00108,5,31
806,2.0,00108,6,1410
807,2.0,00108,7,2515
808,2.0,00108,8,166
809,2.0,00108,9,31
810,2.0,00109,0,150
811,2.0,00109,2,3069
812,2.0,00109,3,14
813,2.0,00109,4,7449
814,2.0,00109,5,32
815,2.0,00109,6,2504
816,2.0,00109,7,4676
817,2.0,00109,8,288
818,2.0,00110,0,113
819,2.0,00110,2,1459
820,2.0,00110,4,3400
821,2.0,00110,6,1194
822,2.0,00110,7,2139
823,2.0,00110,8,152
824,2.0,00110,9,23
825,2.0,00111,0,135
826,2.0,00111,1,4
827,2.0,00111,2,2409
828,2.0,00111,4,6060
829,2.0,00111,5,37
830,2.0,00111,6,1557
831,2.0,00111,7,3261
832,2.0,00111,8,204
833,2.0,00112,0,83
834,2.0,00112,2,1421
835,2.0,00112,4,3550
836,2.0,00112,6,1114
837,2.0,00112,7,2066
838,2.0,00112,8,147
839,2.0,00112,9,24
840,2.0,00113,0,106
841,2.0,00113,2,2141
842,2.0,00113,4,4792
843,2.0,00113,5,20
844,2.0,00113,6,1520
845,2.0,00113,7,2979
846,2.0,00113,8,163
847,2.0,00113,9,33
848,2.0,00114,0,79
849,2.0,00114,2,2510
850,2.0,00114,4,6240
851,2.0,00114,5,26
852,2.0,00114,6,2061
853,2.0,00114,7,4157
854,2.0,00114,8,267
855,2.0,00114,9,51
856,2.0,00115,0,93
857,2.0,00115,1,3
858,2.0,00115,2,1893
859,2.0,00115,4,4614
860,2.0,00115,5,12
861,2.0,00115,6,1350
862,2.0,00115,7,2538
863,2.0,00115,8,200
864,2.0,00115,9,20
865,2.0,00116,0,116
866,2.0,00116,2,2870
867,2.0,00116,3,14
868,2.0,00116,4,7181
869,2.0,00116,6,2397
870,2.0,00116,7,4564
871,2.0,00116,8,370
872,2.0,00116,9,69
873,2.0,00117,0,71
874,2.0,00117,2,2392
875,2.0,00117,4,6150
876,2.0,00117,6,2136
877,2.0,00117,7,4279
878,2.0,00117,8,302
879,2.0,00118,0,42
880,2.0,00118,2,1601
881,2.0,00118,3,9
882,2.0,00118,4,4597
883,2.0,00118,5,21
884,2.0,00118,6,1981
885,2.0,00118,7,4516
886,2.0,00118,8,395
887,2.0,00119,0,84
888,2.0,00119,2,2562
889,2.0,00119,4,6662
890,2.0,00119,6,2516
891,2.0,00119,7,5379
892,2.0,00119,8,378
893,2.0,00120,0,57
894,2.0,00120,2,2172
895,2.0,00120,3,2
896,2.0,00120,4,5925
897,2.0,00120,5,17
898,2.0,00120,6,2057
899,2.0,00120,7,5284
900,2.0,00120,8,425
901,2.0,00120,9,37
902,2.0,00121,0,81
903,2.0,00121,2,3255
904,2.0,00121,4,6093
905,2.0,00121,5,28
906,2.0,00121,6,1767
907,2.0,00121,7,3629
908,2.0,00121,8,215
909,2.0,00121,9,42
910,2.0,00122,2,1439
911,2.0,00122,4,4023
912,2.0,00122,5,21
913,2.0,00122,6,1666
914,2.0,00122,7,4700
915,2.0,00122,8,399
916,2.0,00122,9,45
917,2.0,00123,0,45
918,2.0,00123,2,1934
919,2.0,00123,4,4644
920,2.0,00123,6,1573
921,2.0,00123,7,3720
922,2.0,00123,8,234
923,2.0,00123,9,37
924,2.0,00124,0,61
925,2.0,00124,2,2362
926,2.0,00124,4,5621
927,2.0,00124,5,19
928,2.0,00124,6,1599
929,2.0,00124,7,3581
930,2.0,00124,8,219
931,2.0,00125,0,102
932,2.0,00125,2,2941
933,2.0,00125,4,7273
934,2.0,00125,5,11
935,2.0,00125,6,2713
936,2.0,00125,7,5926
937,2.0,00125,8,435
938,2.0,00125,9,54
939,2.0,00126,0,95
940,2.0,00126,2,2674
941,2.0,00126,4,6074
942,2.0,00126,6,1969
943,2.0,00126,7,3898
944,2.0,00126,8,296
945,2.0,00126,9,49
946,2.0,00127,0,94
947,2.0,00127,2,2732
948,2.0,00127,4,7082
949,2.0,00127,5,30
950,2.0,00127,6,2924
951,2.0,00127,7,7848
952,2.0,00127,8,765
953,2.0,00127,9,32
954,2.0,00128,0,89
955,2.0,00128,2,2333
956,2.0,00128,4,6008
957,2.0,00128,6,2454
958,2.0,00128,7,5779
959,2.0,00128,8,559
960,2.0,00128,9,72
961,2.0,00129,0,128
962,2.0,00129,2,2746
963,2.0,00129,4,7542
964,2.0,00129,6,3489
965,2.0,00129,7,8322
966,2.0,00129,8,923
967,2.0,00130,2,1687
968,2.0,00130,3,5
969,2.0,00130,4,4935
970,2.0,00130,5,28
971,2.0,00130,6,2096
972,2.0,00130,7,6018
973,2.0,00130,8,681
974,2.0,00131,2,689
975,2.0,00131,4,1865
976,2.0,00131,6,569
977,2.0,00131,7,1418
978,2.0,00131,8,128
979,2.0,00131,9,10
980,2.0,00132,0,109
981,2.0,00132,2,3148
982,2.0,00132,4,7293
983,2.0,00132,5,43
984,2.0,00132,6,2394
985,2.0,00132,7,4721
986,2.0,00132,8,426
987,2.0,00132,9,56
988,2.0,00133,2,2413
989,2.0,00133,4,6186
990,2.0,00133,6,2571
991,2.0,00133,7,6450
992,2.0,00133,8,731
993,2.0,00133,9,54
994,2.0,00134,2,787
995,2.0,00134,4,2596
996,2.0,00134,5,32
997,2.0,00134,6,1298
998,2.0,00134,7,3863
999,2.0,00134,8,559
1000,2.0,00135,0,25
1001,2.0,00135,2,783
1002,2.0,00135,3,7
1003,2.0,00135,4,2573
1004,2.0,00135,5,15
1005,2.0,00135,6,1207
1006,2.0,00135,7,4215
1007,2.0,00135,8,611
1008,2.0,00135,9,12
1009,2.0,00136,0,59
1010,2.0,00136,2,1281
1011,2.0,00136,4,3935
1012,2.0,00136,5,26
1013,2.0,00136,6,1867
1014,2.0,00136,7,5431
1015,2.0,00136,8,692
1016,2.0,00136,9,36
1017,2.0,00137,0,35
1018,2.0,00137,2,1173
1019,2.0,00137,3,8
1020,2.0,00137,4,3604
1021,2.0,00137,5,27
1022,2.0,00137,6,1732
